CompanyName,ID,Address,Category_data,Category_2nd_Level,Rating,Review_Count,Price,Street_Num,zip_code,Score
Cafe Nicole @ Novotel,food_277,"226 W 52nd St, New York, NY 10019",French,Europe,3.5,161,3,52nd St,10019,98
Russian Samovar Restaurant,food_39,"256 W 52nd St, New York, NY 10019",Russian,Europe,4,329,2,52nd St,10019,199
Russian Vodka Room,food_287,"265 W 52nd St, New York, NY 10019",Russian,Europe,4,487,2,52nd St,10019,293.8
Victor's Cafe,food_24,"236 W 52nd St, New York, NY 10019",Deli,Deli,4,1173,3,52nd St,10019,705.4
Starbucks,food_254,"750 Seventh Ave, New York, NY 10019",Coffee,Coffee,2,36,2,7th Ave,10019,22.4
Martini's Restaurant,food_190,"810 7th Ave, New York, NY 10019",Italian,Europe,4,723,3,7th Ave,10019,435.4
Rosie O'Grady's Saloon,food_16,"800 Seventh Ave, New York, NY 10019",American,North American,3,366,2,7th Ave,10019,220.8
Teriyaki Boy (month to month),food_300,"732 Seventh Ave, New York, NY 10019",Japanese,Asian,3.5,44,1,7th Ave,10019,27.8
Ruby Foo's,food_253,"750 Seventh Ave, New York, NY 10019",Pan Asian,Asian,3,535,2,7th Ave,10019,322.2
Haagen-Dazs,food_226,"761-779 Seventh Ave, New York, NY 10019",Dessert,Deli,NA,NA,NA,7th Ave,10019,#VALUE!
T.G.I. Friday's,food_228,"761 Seventh Ave, New York, NY 10019",American,North American,1.5,188,2,7th Ave,10019,113.4
Tonic Sports Bar & Restaurant,food_239,"727 Seventh Ave, New York, NY 10019",American,North American,3.5,455,2,7th Ave,10019,274.4
Hawaiian Tropic Zone,food_244,"729 Seventh Ave, New York, NY 10019",American,North American,NA,NA,NA,7th Ave,10019,#VALUE!
Houlihan's Restaurant & Bar,food_245,"729 Seventh Ave, New York, NY 10019",American,North American,2.5,53,3,7th Ave,10019,32.8
Hudson's Sports Bar & Grill,food_290,"811 Seventh Ave, New York, NY 10019",American,North American,NA,NA,NA,7th Ave,10019,#VALUE!
Russo's Steak and Pasta,food_291,"790 Seventh Ave, New York, NY 10019",American,North American,NA,NA,NA,7th Ave,10019,#VALUE!
Avenue Restaurant @ Sheraton Hilton Hotel,food_316,"811 Seventh Ave, New York, NY 10019",American,North American,2,468,2,7th Ave,10019,281.6
Pearls,food_295,"732 Seventh Ave, New York, NY 10019",Chinese,Asian,3,36,1,7th Ave,10019,22.8
F & H Liquor Center Inc,food_189,"810 7th Ave, New York, NY 10019",Consumables,Other,NA,NA,NA,7th Ave,10019,#VALUE!
Europa Cafe,food_232,"787 Seventh Ave, New York, NY 10019",Deli,Deli,3,59,1,7th Ave,10019,36.6
Hale & Hearty,food_251,"745 Seventh Ave, New York, NY 10019",Deli,Deli,3,59,1,7th Ave,10019,36.6
Maxie's Delicatessen,food_282,"723 Seventh Ave, New York, NY 10019",Deli,Deli,2,65,2,7th Ave,10019,39.8
Pizza Hut,food_227,"761-779 Seventh Ave, New York, NY 10019",Pizza,Pizza,1.5,16,2,7th Ave,10019,10.2
Ray's Famous Pizza,food_310,"736 Seventh Ave, New York, NY 10019",Pizza,Pizza,2.5,308,1,7th Ave,10019,185.8
Tad's Steakhouse,food_225,"761 Seventh Ave, New York, NY 10019",Steakhouse,Steakhouse,3,106,2,7th Ave,10019,64.8
"KFC, Tim Horton, Pizza Hut",food_224,"761 Seventh Ave, New York, NY 10019",Coffee,Coffee,3,63,1,7th Ave,10019,39
"Godiva Chocolatier, Inc.",food_250,"745 Seventh Ave, New York, NY 10019",Consumables,Other,3,19,2,7th Ave,10019,12.6
"810 Deli, Inc",food_17,"810 Seventh Ave, New York, NY 10019",Deli,Deli,3,143,2,7th Ave,10019,87
Deli / Caf̩,food_18,"810 Seventh Ave, New York, NY 10019",Deli,Deli,3,143,2,7th Ave,10019,87
Pax Foods,food_249,"740 Seventh Ave, New York, NY 10019",Deli,Deli,3,175,2,7th Ave,10019,106.2
Majestic Delication Caf̩,food_252,"750 Seventh Ave, New York, NY 10019",Deli,Deli,2.5,153,2,7th Ave,10019,92.8
Insieme @ The Michaelangelo,food_327,"777 Seventh Ave, New York, NY 10019",Italian,Europe,NA,NA,NA,7th Ave,10019,#VALUE!
Thalia Kitchen,food_262,"828 Eighth Ave, New York, NY 10019",Italian,Europe,3.5,758,2,8th Ave,10019,456.2
Ciro Trattoria,food_279,"813 Eighth Ave, New York, NY 10019",Italian,Europe,3,18,2,8th Ave,10019,12
Seasons,food_13,"888 Eighth Ave, New York, NY 10019",American,North American,4,27,2,8th Ave,10019,17.8
Pigalle,food_237,"790 Eighth Ave, New York, NY 10019",French,Europe,3,423,2,8th Ave,10019,255
Social Bar NYC & Latitude Bar Grill,food_179,"795 Eighth Avenue, New York, NY 10019",American,North American,3.5,274,2,8th Ave,10019,165.8
Sosa Borella,food_3,"832 Eighth Ave, New York, NY 10019",Argentinian,North American,3.5,122,2,8th Ave,10019,74.6
China Gourmet,food_6,"877 Eighth Ave, New York, NY 10019",Chinese,Asian,2.5,181,1,8th Ave,10019,109.6
Zheng's Lucky Sunday Garden,food_269,"856 Eighth Ave, New York, NY 10019",Chinese,Asian,1.5,8,2,8th Ave,10019,5.4
Fu Ying,food_324,"811 Eighth Ave, New York, NY 10019",Chinese,Asian,3,28,1,8th Ave,10019,18
Starbucks,food_20,"825 Eighth Ave, New York, NY 10019",Coffee,Coffee,3,42,2,8th Ave,10019,26.4
Cosmic Diner,food_10,"888 Eighth Ave, New York, NY 10019",Diner,Deli,2.5,303,2,8th Ave,10019,182.8
Ranch 1,food_2,"832 Eighth Ave, New York, NY 10019",Fast Food,Deli,NA,NA,NA,8th Ave,10019,#VALUE!
Rino Trattoria,food_7,"877 Eighth Ave, New York, NY 10019",Italian,Europe,2.5,115,2,8th Ave,10019,70
Caffe Cielo,food_9,"881 Eighth Ave, New York, NY 10019",Italian,Europe,3,20,2,8th Ave,10019,13.2
Ichi Masa Japanese Sushi,food_19,"825 Eighth Ave, New York, NY 10019",Japanese,Asian,3,99,2,8th Ave,10019,60.6
Chipotle Mexican grill,food_321,"854 Eighth Ave, New York, NY 10019",Mexican,South American,2.5,90,2,8th Ave,10019,55
Z Deli-Pizzeria,food_268,"803 Eighth Ave, New York, NY 10019",Pizza,Pizza,3.5,64,1,8th Ave,10019,39.8
Mi Nidito (Cantina Mexicana),food_4,"852 Eighth Ave, New York, NY 10019",Mexican,South American,3,155,2,8th Ave,10019,94.2
Olympic Restaurant,food_280,"807 Eighth Ave, New York, NY 10019",American,North American,3,57,1,8th Ave,10019,35.4
Laxmi Corp. Newsstand,food_8,"879 Eighth Ave, New York, NY 10019",Deli,Deli,NA,NA,NA,8th Ave,10019,#VALUE!
Green Emporium,food_15,"791 Eighth Ave, New York, NY 10019",Deli,Deli,3,18,2,8th Ave,10019,12
Midtown Gourmet Deli,food_257,"840 Eighth Ave, New York, NY 10019",Deli,Deli,NA,NA,NA,8th Ave,10019,#VALUE!
World of Nuts and Ice Cream,food_14,"888 Eighth Ave, New York, NY 10019",Dessert,Deli,1.5,3,1,8th Ave,10019,2.4
Blockheads,food_184,"825 Eighth Ave, New York, NY 10019",Mexican,South American,4,1547,3,8th Ave,10019,929.8
Amadeus Pizza,food_271,"856 Eighth Ave, New York, NY 10019",Pizza,Pizza,3,186,1,8th Ave,10019,112.8
Crumbs,food_143,"1675 Broadway, New York, NY 10019",Dessert,Deli,3.5,109,2,Broadway,10019,66.8
Mama Sbarro's,food_302,"1606 Broadway, New York, NY 10019",Pizza,Pizza,3,11,1,Broadway,10019,7.8
San Leone,food_140,"1674 Broadway, New York, NY 10019",Italian,Europe,3.5,10,1,Broadway,10019,7.4
Crown Deli,food_175,"1678 Broadway, New York, NY 10019",Italian,Europe,3.5,10,1,Broadway,10019,7.4
Spotlight Times Square,food_139,"1604-1610 Broadway, New York, NY 10019",American,North American,3,186,2,Broadway,10019,112.8
Ellen's Stardust Diner,food_141,"1650 Broadway, New York, NY 10019",American,North American,3.5,1320,2,Broadway,10019,793.4
Charley O's,food_270,"1611 Broadway, New York, NY 10019",American,North American,1,5,2,Broadway,10019,3.4
Brasserie 1605,food_298,"1605 Broadway, New York, NY 10019",American,North American,3,23,2,Broadway,10019,15
Nan King Chinese Cuisine,food_258,"1632 Broadway, New York, NY 10019",Chinese,Asian,2.5,269,2,Broadway,10019,162.4
vacant (former starbucks),food_138,"1600 Broadway, New York, NY 10019",Coffee,Coffee,NA,NA,NA,Broadway,10019,#VALUE!
Starbucks,food_192,"1656 Broadway, New York, NY 10019",Coffee,Coffee,2.5,32,1,Broadway,10019,20.2
"1657 Broadway Deli, Ltd.",food_89,"1651-1665 Broadway, New York, NY 10019",Deli,Deli,NA,NA,NA,Broadway,10019,#VALUE!
EZ Deil and Nail Land,food_99,"1625 Broadway, New York, NY 10019",#N/A,Deli,4.5,3,1,Broadway,10019,3.6
Cosi,food_119,"1633 Broadway, New York, NY 10019",Deli,Deli,NA,NA,NA,Broadway,10019,#VALUE!
McDonald's,food_76,"1651 Broadway, New York, NY 10019",Fast Food,Deli,2,46,1,Broadway,10019,28.4
Italia Mia Pizza,food_102,"1674 Broadway, New York, NY 10019",Pizza,Pizza,3.5,10,1,Broadway,10019,7.4
City Chow,food_118,"1633 Broadway, New York, NY 10019",Deli,Deli,2,9,1,Broadway,10019,6.2
 Bagel Company,food_142,"1674 Broadway, New York, NY 10019",#N/A,Deli,NA,NA,NA,Broadway,10019,#VALUE!
"Metromet, Inc.",food_329,"224 West 49th Street
Suite 1619, New York, NY 10019",Catering,Other,NA,NA,NA,49th St,10019,#VALUE!
Bobby Vans,food_212,"135 W 50th St, New York, NY 10020",Steakhouse,Steakhouse,3.5,265,3,50th St,10020,160.4
Bocca To Go Cucian Italiana,food_213,"135 W 50th St, New York, NY 10020",Italian,Europe,3.5,124,2,50th St,10020,75.8
Pret a Manger,food_214,"135 W 50th St, New York, NY 10020",Deli,Deli,4,121,1,50th St,10020,74.2
Qdoba Mexican Grill,food_216,"135 W 50th St, New York, NY 10020",Mexican,South American,3,36,2,50th St,10020,22.8
Ruth's Chris Steak House,food_54,"148 W 51st St, New York, NY 10020",Steakhouse,Steakhouse,4,740,3,51st St,10020,445.6
Paramount Cafe,food_114,"1501 Broadway, Suite# 2009, New York, NY 10036",Deli,Deli,3.5,4,4,Broadway,10036,3.8
McDonald's,food_126,"1560 Broadway, Suite# 1651, New York, NY 10036",Fast Food,Deli,2.5,59,1,Broadway,10036,36.4
Coldstone Creamery,food_159,"1501 Broadway, Suite 1604, New York, NY 10036",Dessert,Deli,NA,NA,NA,Broadway,10036,#VALUE!
Firebird Restaurant,food_124,"365 W. 46th Street, New York, NY 10036",Russian,Europe,3,180,4,46th St,10036,109.2
Montenapo Restaurant,food_191,"250 West 41st Street, New York, NY 10036",Italian,Europe,4,20,3,41st St,10036,13.6
Angus McIndoe Restaurant,food_273,"258 West 44th Street, New York, NY 10036",American,North American,3,108,2,44th St,10036,66
Bond 45,food_313,"154 West 45th St, New York, NY 10036",Italian,Europe,3.5,471,3,45th St,10036,284
Barbetta Restaurant,food_330,"321 West 46th Street, New York, NY 10036",Italian,Europe,3.5,186,3,46th St,10036,113
Bobby Van's Steakhouse,food_188,"120 West 45th Street, New York, NY 10036",American,North American,3,170,3,45th St,10036,103.2
The Long Room,food_180,"120 West 44th St., New York, NY 10036",Bar / Lounge,North American,3.5,260,2,44th St.,10036,157.4
Havana Central,food_160,"151 West 46th Street, New York, NY 10036",Cuban,South American,3.5,1538,2,46th St,10036,924.2
Domino's Pizza,food_161,"230 W 41st St, New York, NY 10036",Pizza,Pizza,2.5,54,1,41st St,10036,33.4
Pronto Pizza-Lemlen Pizza,food_211,"135 W 41st St, New York, NY 10036",Pizza,Pizza,3.5,90,1,41st St,10036,55.4
Scotts Food Court,food_50,"141 W 41st St, New York, NY 10036",American,North American,2,6,1,41st St,10036,4.4
"Aramark Services, Inc.",food_117,"230 W 41st St, New York, NY 10036",Catering,Other,NA,NA,NA,41st St,10036,#VALUE!
Uncle A's Mini Mart,food_149,"220 W 41st St, New York, NY 10036",Deli,Deli,NA,NA,NA,41st St,10036,#VALUE!
Metro Deli/ Ranch #1,food_222,"141 W 41st St, New York, NY 10036",Deli,Deli,2,6,1,41st St,10036,4.4
Ranch 1,food_49,"141 W 41st St, New York, NY 10036",Fast Food,Deli,3,11,1,41st St,10036,7.8
B.B. King Blues Club & Grill,food_26,"237 W 42nd St, New York, NY 10036",American,North American,3,619,2,42nd St,10036,372.6
Chevys Fresh Mex,food_306,"259 W 42nd St, New York, NY 10036",Mexican,South American,3,611,2,42nd St,10036,367.8
Applebee's Neighborhood Grill and Bar,food_164,"234 W 42nd St, New York, NY 10036",American,North American,2,387,2,42nd St,10036,233
Cafe O,food_208,"130 W 42nd St, New York, NY 10036",American,North American,3,37,1,42nd St,10036,23.4
Scott Alling-Convivial Catering,food_181,"130 W 42nd St, New York, NY 10036",Catering,Other,NA,NA,NA,42nd St,10036,#VALUE!
Scott Alliang-Demonstration Room,food_183,"130 W 42nd St, New York, NY 10036",Catering,Other,NA,NA,NA,42nd St,10036,#VALUE!
Starbucks,food_29,"251 W 42nd St, New York, NY 10036",Coffee,Coffee,2.5,31,2,42nd St,10036,19.6
Virtigo Cafe Llc,food_71,"234 W 42nd St, New York, NY 10036",Deli,Deli,2,2,1,42nd St,10036,2
Chock full o' Nuts Cafe,food_165,"234 W 42nd St, New York, NY 10036",Deli,Deli,NA,NA,NA,42nd St,10036,#VALUE!
EASY INTERNET CAFE TIME SQUARE LLC,food_170,"258 W 42nd St, New York, NY 10036",Deli,Deli,NA,NA,NA,42nd St,10036,#VALUE!
Pax World,food_314,"225 W 42nd St, New York, NY 10036",Deli,Deli,NA,NA,NA,42nd St,10036,#VALUE!
Ruby's Diner,food_70,"234 W 42nd St, New York, NY 10036",Diner,Deli,NA,NA,NA,42nd St,10036,#VALUE!
McDonald's,food_86,"220 W 42nd St, New York, NY 10036",Fast Food,Deli,2.5,86,1,42nd St,10036,52.6
Ranch 1,food_169,"234 W 42nd St, New York, NY 10036",Fast Food,Deli,NA,NA,NA,42nd St,10036,#VALUE!
Europa Caf̩,food_148,"218 W 42nd St, New York, NY 10036",Deli,Deli,NA,NA,NA,42nd St,10036,#VALUE!
Manchu WOK,food_168,"234 W 42nd St, New York, NY 10036",Chinese,Asian,NA,NA,NA,42nd St,10036,#VALUE!
Cold Stone Creamery/ Tim Horton's,food_27,"243 W 42nd St, New York, NY 10036",Dessert,Deli,3,156,2,42nd St,10036,94.8
Dippin' Dots,food_167,"234 W 42nd St, New York, NY 10036",Dessert,Deli,NA,NA,NA,42nd St,10036,#VALUE!
Yoshinoya Beef Bowl Restaurant,food_303,"255 W 42nd St, New York, NY 10036",Japanese,Asian,2.5,130,1,42nd St,10036,79
Tony's Di Napoli,food_51,"147 W 43rd Str, New York, NY 10036",Italian,Europe,4,1616,2,43rd Str,10036,971.2
Lucky Star Cafe,food_32,"250 W 43rd St, New York, NY 10036",American,North American,3.5,51,1,43rd St,10036,32
Bella Vita,food_318,"211 W 43rd St, New York, NY 10036",Italian,Europe,3,437,2,43rd St,10036,263.4
Heartland Brewery,food_207,"127 W 43rd St, New York, NY 10036",American,North American,3.5,532,2,43rd St,10036,320.6
Brooklyn Diner,food_305,"155 W 43rd St, New York, NY 10036",Diner,Deli,3,453,2,43rd St,10036,273
Haru,food_326,"205 W 43rd St, New York, NY 10036",Japanese,Asian,3.5,580,2,43rd St,10036,349.4
Green Symphony,food_325,"255 W 43rd St, New York, NY 10036",Organic,Other,4,406,1,43rd St,10036,245.2
Shula's Steakhouse,food_33,"250 W 43rd St, New York, NY 10036",Steakhouse,Steakhouse,3.5,142,3,43rd St,10036,86.6
H&B Heartland Burgers,food_206,"127 W 43rd St, New York, NY 10036",American,North American,3.5,532,2,43rd St,10036,320.6
Bar 10,food_172,"270 W 43rd St, New York, NY 10036",Bar / Lounge,North American,2.5,20,3,43rd St,10036,13
Duvel Bar Rest,food_204,"125 W 43rd St, New York, NY 10036",Belgian,Europe,3.5,466,2,43rd St,10036,281
Osteria Al Doge,food_60,"142 W 44th St, New York, NY 10036",Italian,Europe,4,377,3,44th St,10036,227.8
Restaurant Charlotte @ Millennium Broadway Hotel,food_43,"145 W 44th St, New York, NY 10036",American,North American,3,13,2,44th St,10036,9
Sardi's Restaurant,food_78,"234-236 W 44th St, New York, NY 10036",American,North American,3.5,404,3,44th St,10036,243.8
Virgils Real Barbecue,food_65,"152 W 44th St, New York, NY 10036",Barbecue,Other,3.5,1311,2,44th St,10036,788
Carmine's,food_157,"200 W 44th St, New York, NY 10036",Italian,Europe,4,2797,2,44th St,10036,1679.8
Trattoria Dopo Teatro,food_205,"125 W 44th St, New York, NY 10036",Italian,Europe,3,116,2,44th St,10036,70.8
Jimmy's Corner,food_221,"140 W 44th St, New York, NY 10036",Bar / Lounge,North American,4,513,1,44th St,10036,309.4
Times Deli Caf̩,food_136,"158 W 44th St, New York, NY 10036",Deli,Deli,2.5,31,2,44th St,10036,19.6
Times Square Hot Bagels,food_297,"200 W 44th St, New York, NY 10036",Deli,Deli,3.5,88,1,44th St,10036,54.2
Subway,food_219,"136 W 44th St, New York, NY 10036",Fast Food,Deli,2.5,4,1,44th St,10036,3.4
Saju French Bistro @ Hotel Mela,food_198,"120 W 44th St, New York, NY 10036",French,Europe,NA,NA,NA,44th St,10036,#VALUE!
Cafe Un Deux Trois,food_202,"123 W 44th St, New York, NY 10036",French,Europe,3.5,482,2,44th St,10036,290.6
Viva Pancho,food_115,"156 W 44th St, New York, NY 10036",Mexican,South American,3,32,2,44th St,10036,20.4
John's Pizzeria,food_40,"260 W 44th St, New York, NY 10036",Pizza,Pizza,3.5,1701,2,44th St,10036,1022
Haggis Inc,food_197,"120 W 44th St, New York, NY 10036",Scottish,Europe,3.5,397,2,44th St,10036,239.6
Just Pies Inc,food_41,"260 W 44th St, New York, NY 10036",Dessert,Deli,NA,NA,NA,44th St,10036,#VALUE!
Starlite Deli,food_292,"212 W 44th St, New York, NY 10036",Deli,Deli,3.5,39,1,44th St,10036,24.8
O'Lunney's Times Square Pub,food_44,"145 W 45th St, New York, NY 10036",American,North American,4,308,2,45th St,10036,186.4
Kodama Sushi,food_255,"301 W 45th St, New York, NY 10036",Japanese,Asian,3.5,393,2,45th St,10036,237.2
Dunhill Cafe,food_194,"109 W 45th St, New York, NY 10036",American,North American,3.5,43,1,45th St,10036,27.2
Connolly's Pub And Restaurant,food_201,"121 W 45th St, New York, NY 10036",Bar / Lounge,North American,3.5,307,2,45th St,10036,185.6
N Valenti Restaurant Associates,food_199,"120 W 45th St, New York, NY 10036",Catering,Other,NA,NA,NA,45th St,10036,#VALUE!
Cranberry Gourmet,food_196,"115 W 45th St, New York, NY 10036",Deli,Deli,3.5,153,1,45th St,10036,93.2
Frankie & Johnnie's Steakhouse,food_296,"269 W 45th St, New York, NY 10036",Steakhouse,Steakhouse,3.5,202,3,45th St,10036,122.6
The Perfect Pint,food_203,"123 W 45th St, New York, NY 10036",Bar / Lounge,North American,3.5,323,2,45th St,10036,195.2
Patina Restaurant Group,food_200,"120 W 45th St, New York, NY 10036",Catering,Other,NA,NA,NA,45th St,10036,#VALUE!
Deacon Brodie's Tavern,food_128,"370 W 46th St, New York, NY 10036",Bar / Lounge,North American,4,66,2,46th St,10036,41.2
Da Rosina Ristorante Italiano,food_98,"342 W 46th St, New York, NY 10036",Italian,Europe,3,133,2,46th St,10036,81
Sofia's,food_275,"221 W 46th St, New York, NY 10036",Italian,Europe,2,66,2,46th St,10036,40.4
Hourglass Tavern,food_301,"373 W 46th St, New York, NY 10036",NA,Other,4,631,2,46th St,10036,380.2
Rosie O'Grady's Steakhouse,food_55,"149 W 46th St, New York, NY 10036",Steakhouse,Steakhouse,2.5,20,2,46th St,10036,13
Bangkok House,food_121,"360 W 46th St, New York, NY 10036",Thai,Asian,3.5,189,2,46th St,10036,114.8
The Library @ Paramount Hotel,food_22,"235 W 46th St, New York, NY 10036",American,North American,3.5,3,3,46th St,10036,3.2
Library Bar,food_80,"235 W 46th St, New York, NY 10036",American,North American,3.5,3,3,46th St,10036,3.2
B. Smith's Restaurant Row,food_92,"320 W 46th St, New York, NY 10036",American,North American,3,198,3,46th St,10036,120
Joe Allen,food_94,"326 W 46th St, New York, NY 10036",American,North American,4,314,2,46th St,10036,190
La Rivista Ristorante,food_81,"313 W 46th St, New York, NY 10036",Italian,Europe,3,69,3,46th St,10036,42.6
Orso,food_93,"322 W 46th St, New York, NY 10036",Italian,Europe,4,151,3,46th St,10036,92.2
Becco,food_112,"355 W 46th St, New York, NY 10036",Italian,Europe,3.5,2368,3,46th St,10036,1422.2
Capri Ristorante - CLOSED,food_113,"358 W 46th St, New York, NY 10036",Italian,Europe,NA,NA,NA,46th St,10036,#VALUE!
Lattanzi Restaurant,food_116,"359 W 46th St, New York, NY 10036",Italian,Europe,3.5,196,3,46th St,10036,119
Tramonti,food_123,"364 W 46th St, New York, NY 10036",Italian,Europe,3.5,2368,3,46th St,10036,1422.2
Club House Caf̩,food_103,"155 W 46th St, New York, NY 10036",Spanish,Europe,3.5,35,2,46th St,10036,22.4
Sangria 46,food_96,"338 W 46th St, New York, NY 10036",Spanish,Europe,3.5,334,2,46th St,10036,201.8
O'Flaherty's Ale House & Restaurant,food_95,"334 W 46th St, New York, NY 10036",American,North American,3,66,2,46th St,10036,40.8
Restaurant,food_104,"155 W 46th St, New York, NY 10036",American,North American,3,228,3,46th St,10036,138
Swing 46 Jazz and Supper Club,food_109,"349 W 46th St, New York, NY 10036",American,North American,3.5,226,3,46th St,10036,137
